номер_операции,код_месторождения,наименование_месторождения,номер_скважины,дата_начала,дата_окончания,глубина_план_м,глубина_факт_м,длительность_дней,код_статьи,план_тыс_тнг,факт_тыс_тнг,отклонение_тыс_тнг,год,месяц,квартал,отклонение_пцт,наименование_статьи
ОП-2018-000578,МСТ-005,Харасан,СКВ-00578,2018-08-20,2018-09-07,776.3,851.7,18,ЗТР-01,1149.73,1336.47,186.74,2018,8,Q3,16.2,ГСМ и топливо
ОП-2018-000544,МСТ-001,Инкай,СКВ-00544,2018-08-20,2018-09-06,572.9,574.1,17,ЗТР-05,761.08,888.38,127.3,2018,8,Q3,16.7,Амортизация оборудования
ОП-2018-000574,МСТ-005,Харасан,СКВ-00574,2018-08-20,2018-08-27,448.1,425.5,7,ЗТР-05,885.37,1028.56,143.19,2018,8,Q3,16.2,Амортизация оборудования
ОП-2018-000578,МСТ-005,Харасан,СКВ-00578,2018-08-20,2018-09-07,776.3,851.7,18,ЗТР-09,116.11,135.23,19.12,2018,8,Q3,16.5,Прочие расходы
ОП-2018-000575,МСТ-005,Харасан,СКВ-00575,2018-08-20,2018-09-04,845.7,824.4,15,ЗТР-07,450.8,521.7,70.9,2018,8,Q3,15.7,Электроэнергия
ОП-2018-000578,МСТ-005,Харасан,СКВ-00578,2018-08-20,2018-09-07,776.3,851.7,18,ЗТР-08,289.53,337.29,47.76,2018,8,Q3,16.5,Охрана труда и ТБ
ОП-2018-000582,МСТ-005,Харасан,СКВ-00582,2018-08-21,2018-08-31,469.6,503.5,10,ЗТР-01,1769.07,2050.04,280.97,2018,8,Q3,15.9,ГСМ и топливо
ОП-2018-000610,МСТ-012,Заречное,СКВ-00610,2018-08-24,2018-09-07,486.8,535.2,14,ЗТР-04,1480.57,1705.91,225.34,2018,8,Q3,15.2,Транспорт и логистика
ОП-2018-000562,МСТ-003,Акдала,СКВ-00562,2018-08-24,2018-09-13,886.6,833.4,20,ЗТР-01,2468.55,2863.07,394.52,2018,8,Q3,16.0,ГСМ и топливо
ОП-2018-000594,МСТ-008,Уванас,СКВ-00594,2018-08-24,2018-09-07,815.0,838.0,14,ЗТР-08,370.1,427.62,57.52,2018,8,Q3,15.5,Охрана труда и ТБ
ОП-2018-000610,МСТ-012,Заречное,СКВ-00610,2018-08-24,2018-09-07,486.8,535.2,14,ЗТР-01,2878.11,3351.68,473.57,2018,8,Q3,16.5,ГСМ и топливо
ОП-2018-000610,МСТ-012,Заречное,СКВ-00610,2018-08-24,2018-09-07,486.8,535.2,14,ЗТР-03,797.45,918.8,121.35,2018,8,Q3,15.2,Материалы и запчасти
ОП-2018-000540,МСТ-001,Инкай,СКВ-00540,2018-08-25,2018-09-07,718.5,756.3,13,ЗТР-07,964.91,1117.99,153.08,2018,8,Q3,15.9,Электроэнергия
ОП-2018-000592,МСТ-008,Уванас,СКВ-00592,2018-08-25,2018-09-07,735.9,711.8,13,ЗТР-01,2205.6,2553.03,347.43,2018,8,Q3,15.8,ГСМ и топливо
ОП-2018-000599,МСТ-009,Ирколь,СКВ-00599,2018-08-25,2018-09-06,616.0,606.7,12,ЗТР-02,3679.1,4253.36,574.26,2018,8,Q3,15.6,Заработная плата
ОП-2018-000599,МСТ-009,Ирколь,СКВ-00599,2018-08-25,2018-09-06,616.0,606.7,12,ЗТР-05,2813.4,3257.85,444.45,2018,8,Q3,15.8,Амортизация оборудования
ОП-2018-000608,МСТ-012,Заречное,СКВ-00608,2018-08-27,2018-09-13,776.9,786.1,17,ЗТР-06,1159.68,1362.91,203.23,2018,8,Q3,17.5,Подрядные работы
ОП-2018-000588,МСТ-006,Мынкудук,СКВ-00588,2018-08-28,2018-09-14,751.4,723.7,17,ЗТР-01,1506.07,1763.26,257.19,2018,8,Q3,17.1,ГСМ и топливо
ОП-2018-000559,МСТ-003,Акдала,СКВ-00559,2018-08-28,2018-09-22,801.3,798.5,25,ЗТР-08,503.32,585.05,81.73,2018,8,Q3,16.2,Охрана труда и ТБ
ОП-2018-000577,МСТ-005,Харасан,СКВ-00577,2018-08-28,2018-09-19,723.8,776.8,22,ЗТР-02,4065.1,4719.26,654.16,2018,8,Q3,16.1,Заработная плата
ОП-2018-000678,МСТ-008,Уванас,СКВ-00678,2018-09-01,2018-09-10,513.3,542.1,9,ЗТР-02,2101.52,2471.6,370.08,2018,9,Q3,17.6,Заработная плата
ОП-2018-000678,МСТ-008,Уванас,СКВ-00678,2018-09-01,2018-09-10,513.3,542.1,9,ЗТР-04,1910.6,2239.3,328.7,2018,9,Q3,17.2,Транспорт и логистика
ОП-2018-000621,МСТ-001,Инкай,СКВ-00621,2018-09-02,2018-09-26,809.2,770.7,24,ЗТР-03,1684.36,1968.5,284.14,2018,9,Q3,16.9,Материалы и запчасти
ОП-2018-000621,МСТ-001,Инкай,СКВ-00621,2018-09-02,2018-09-26,809.2,770.7,24,ЗТР-02,2073.15,2393.45,320.3,2018,9,Q3,15.4,Заработная плата
ОП-2018-000626,МСТ-002,Буденовское,СКВ-00626,2018-09-03,2018-09-09,313.4,347.7,6,ЗТР-03,1136.69,1334.51,197.82,2018,9,Q3,17.4,Материалы и запчасти
ОП-2018-000626,МСТ-002,Буденовское,СКВ-00626,2018-09-03,2018-09-09,313.4,347.7,6,ЗТР-05,426.63,499.96,73.33,2018,9,Q3,17.2,Амортизация оборудования
ОП-2018-000689,МСТ-011,Северный Харасан,СКВ-00689,2018-09-03,2018-09-17,591.8,541.2,14,ЗТР-01,2962.22,3475.11,512.89,2018,9,Q3,17.3,ГСМ и топливо
ОП-2018-000682,МСТ-009,Ирколь,СКВ-00682,2018-09-03,2018-09-22,803.7,808.8,19,ЗТР-09,247.09,285.24,38.15,2018,9,Q3,15.4,Прочие расходы
ОП-2018-000693,МСТ-012,Заречное,СКВ-00693,2018-09-03,2018-09-19,796.5,831.0,16,ЗТР-05,1151.23,1339.83,188.6,2018,9,Q3,16.4,Амортизация оборудования
ОП-2018-000620,МСТ-001,Инкай,СКВ-00620,2018-09-03,2018-09-19,550.7,514.5,16,ЗТР-06,1392.53,1613.97,221.44,2018,9,Q3,15.9,Подрядные работы
ОП-2018-000688,МСТ-011,Северный Харасан,СКВ-00688,2018-09-04,2018-09-14,581.3,529.3,10,ЗТР-02,1869.28,2179.83,310.55,2018,9,Q3,16.6,Заработная плата
ОП-2018-000691,МСТ-012,Заречное,СКВ-00691,2018-09-05,2018-09-29,872.3,885.2,24,ЗТР-01,1761.5,2039.34,277.84,2018,9,Q3,15.8,ГСМ и топливо
ОП-2018-000618,МСТ-001,Инкай,СКВ-00618,2018-09-05,2018-09-15,500.5,476.1,10,ЗТР-04,887.03,1022.28,135.25,2018,9,Q3,15.2,Транспорт и логистика
ОП-2018-000637,МСТ-004,Южный Инкай,СКВ-00637,2018-09-05,2018-09-20,845.7,895.8,15,ЗТР-05,1612.0,1876.93,264.93,2018,9,Q3,16.4,Амортизация оборудования
ОП-2018-000681,МСТ-009,Ирколь,СКВ-00681,2018-09-06,2018-09-21,776.7,716.2,15,ЗТР-07,901.58,1059.92,158.34,2018,9,Q3,17.6,Электроэнергия
ОП-2018-000676,МСТ-008,Уванас,СКВ-00676,2018-09-06,2018-09-17,623.4,651.7,11,ЗТР-02,2103.99,2458.74,354.75,2018,9,Q3,16.9,Заработная плата
ОП-2018-000653,МСТ-005,Харасан,СКВ-00653,2018-09-07,2018-09-28,619.5,663.0,21,ЗТР-09,154.36,178.95,24.59,2018,9,Q3,15.9,Прочие расходы
ОП-2018-000660,МСТ-006,Мынкудук,СКВ-00660,2018-09-07,2018-09-15,461.8,428.8,8,ЗТР-06,886.55,1041.23,154.68,2018,9,Q3,17.4,Подрядные работы
ОП-2018-000619,МСТ-001,Инкай,СКВ-00619,2018-09-08,2018-10-02,857.7,862.5,24,ЗТР-02,2487.17,2886.59,399.42,2018,9,Q3,16.1,Заработная плата
ОП-2018-000670,МСТ-007,Канжуган,СКВ-00670,2018-09-09,2018-09-18,315.4,308.9,9,ЗТР-09,115.51,135.2,19.69,2018,9,Q3,17.0,Прочие расходы
ОП-2018-000648,МСТ-005,Харасан,СКВ-00648,2018-09-11,2018-09-25,654.1,634.7,14,ЗТР-01,2485.78,2864.29,378.51,2018,9,Q3,15.2,ГСМ и топливо
ОП-2018-000639,МСТ-004,Южный Инкай,СКВ-00639,2018-09-11,2018-09-19,391.7,416.1,8,ЗТР-04,1157.5,1346.51,189.01,2018,9,Q3,16.3,Транспорт и логистика
ОП-2018-000639,МСТ-004,Южный Инкай,СКВ-00639,2018-09-11,2018-09-19,391.7,416.1,8,ЗТР-08,350.08,410.95,60.87,2018,9,Q3,17.4,Охрана труда и ТБ
ОП-2018-000633,МСТ-003,Акдала,СКВ-00633,2018-09-11,2018-09-18,490.8,453.1,7,ЗТР-04,898.24,1053.71,155.47,2018,9,Q3,17.3,Транспорт и логистика
ОП-2018-000633,МСТ-003,Акдала,СКВ-00633,2018-09-11,2018-09-18,490.8,453.1,7,ЗТР-09,804.46,944.75,140.29,2018,9,Q3,17.4,Прочие расходы
ОП-2018-000648,МСТ-005,Харасан,СКВ-00648,2018-09-11,2018-09-25,654.1,634.7,14,ЗТР-02,2742.57,3174.67,432.1,2018,9,Q3,15.8,Заработная плата
ОП-2018-000664,МСТ-006,Мынкудук,СКВ-00664,2018-09-13,2018-09-21,430.4,415.0,8,ЗТР-04,1001.7,1172.93,171.23,2018,9,Q3,17.1,Транспорт и логистика
ОП-2018-000654,МСТ-005,Харасан,СКВ-00654,2018-09-13,2018-09-22,535.7,576.8,9,ЗТР-06,1703.71,1970.42,266.71,2018,9,Q3,15.7,Подрядные работы
ОП-2018-000641,МСТ-004,Южный Инкай,СКВ-00641,2018-09-13,2018-09-23,605.9,584.6,10,ЗТР-01,1344.02,1548.12,204.1,2018,9,Q3,15.2,ГСМ и топливо
ОП-2018-000632,МСТ-003,Акдала,СКВ-00632,2018-09-13,2018-09-30,619.8,635.7,17,ЗТР-09,374.47,436.0,61.53,2018,9,Q3,16.4,Прочие расходы
ОП-2018-000632,МСТ-003,Акдала,СКВ-00632,2018-09-13,2018-09-30,619.8,635.7,17,ЗТР-07,668.31,771.75,103.44,2018,9,Q3,15.5,Электроэнергия
ОП-2018-000655,МСТ-006,Мынкудук,СКВ-00655,2018-09-14,2018-09-25,546.5,590.2,11,ЗТР-06,628.98,728.37,99.39,2018,9,Q3,15.8,Подрядные работы
ОП-2018-000655,МСТ-006,Мынкудук,СКВ-00655,2018-09-14,2018-09-25,546.5,590.2,11,ЗТР-08,262.04,306.91,44.87,2018,9,Q3,17.1,Охрана труда и ТБ
ОП-2018-000647,МСТ-005,Харасан,СКВ-00647,2018-09-14,2018-09-29,487.9,462.9,15,ЗТР-09,161.43,186.19,24.76,2018,9,Q3,15.3,Прочие расходы
ОП-2018-000630,МСТ-003,Акдала,СКВ-00630,2018-09-14,2018-10-06,759.4,831.2,22,ЗТР-02,4071.86,4788.57,716.71,2018,9,Q3,17.6,Заработная плата
ОП-2018-000623,МСТ-001,Инкай,СКВ-00623,2018-09-15,2018-09-29,814.3,803.4,14,ЗТР-05,1353.34,1571.03,217.69,2018,9,Q3,16.1,Амортизация оборудования
ОП-2018-000642,МСТ-004,Южный Инкай,СКВ-00642,2018-09-16,2018-10-12,905.3,860.9,26,ЗТР-06,619.52,727.11,107.59,2018,9,Q3,17.4,Подрядные работы
ОП-2018-000692,МСТ-012,Заречное,СКВ-00692,2018-09-16,2018-09-30,798.0,829.0,14,ЗТР-01,2143.67,2466.48,322.81,2018,9,Q3,15.1,ГСМ и топливо
ОП-2018-000668,МСТ-007,Канжуган,СКВ-00668,2018-09-18,2018-09-22,232.2,211.7,4,ЗТР-04,215.38,249.54,34.16,2018,9,Q3,15.9,Транспорт и логистика
ОП-2018-000687,МСТ-011,Северный Харасан,СКВ-00687,2018-09-19,2018-09-28,547.3,548.3,9,ЗТР-05,1410.12,1645.31,235.19,2018,9,Q3,16.7,Амортизация оборудования
ОП-2018-000649,МСТ-005,Харасан,СКВ-00649,2018-09-20,2018-09-29,463.0,458.5,9,ЗТР-02,2377.98,2766.17,388.19,2018,9,Q3,16.3,Заработная плата
ОП-2018-000624,МСТ-001,Инкай,СКВ-00624,2018-09-20,2018-10-08,837.3,797.3,18,ЗТР-04,1707.33,2004.13,296.8,2018,9,Q3,17.4,Транспорт и логистика
ОП-2018-000649,МСТ-005,Харасан,СКВ-00649,2018-09-20,2018-09-29,463.0,458.5,9,ЗТР-09,51.9,60.89,8.99,2018,9,Q3,17.3,Прочие расходы
ОП-2018-000624,МСТ-001,Инкай,СКВ-00624,2018-09-20,2018-10-08,837.3,797.3,18,ЗТР-06,1981.85,2319.98,338.13,2018,9,Q3,17.1,Подрядные работы
ОП-2018-000679,МСТ-009,Ирколь,СКВ-00679,2018-09-21,2018-10-12,665.9,713.1,21,ЗТР-06,1456.43,1691.18,234.75,2018,9,Q3,16.1,Подрядные работы
ОП-2018-000638,МСТ-004,Южный Инкай,СКВ-00638,2018-09-21,2018-09-29,388.1,429.1,8,ЗТР-07,572.82,664.96,92.14,2018,9,Q3,16.1,Электроэнергия
ОП-2018-000622,МСТ-001,Инкай,СКВ-00622,2018-09-21,2018-10-01,536.1,563.5,10,ЗТР-04,537.48,625.89,88.41,2018,9,Q3,16.4,Транспорт и логистика
ОП-2018-000638,МСТ-004,Южный Инкай,СКВ-00638,2018-09-21,2018-09-29,388.1,429.1,8,ЗТР-06,850.72,993.1,142.38,2018,9,Q3,16.7,Подрядные работы
ОП-2018-000646,МСТ-005,Харасан,СКВ-00646,2018-09-22,2018-10-03,651.9,595.0,11,ЗТР-01,1281.61,1489.56,207.95,2018,9,Q3,16.2,ГСМ и топливо
ОП-2018-000646,МСТ-005,Харасан,СКВ-00646,2018-09-22,2018-10-03,651.9,595.0,11,ЗТР-04,4784.37,5590.87,806.5,2018,9,Q3,16.9,Транспорт и логистика
ОП-2018-000651,МСТ-005,Харасан,СКВ-00651,2018-09-22,2018-10-06,796.5,771.9,14,ЗТР-04,2050.64,2391.91,341.27,2018,9,Q3,16.6,Транспорт и логистика
ОП-2018-000631,МСТ-003,Акдала,СКВ-00631,2018-09-22,2018-10-05,591.5,584.1,13,ЗТР-02,2446.03,2857.87,411.84,2018,9,Q3,16.8,Заработная плата
ОП-2018-000616,МСТ-001,Инкай,СКВ-00616,2018-09-22,2018-10-09,823.9,857.2,17,ЗТР-05,1634.98,1922.57,287.59,2018,9,Q3,17.6,Амортизация оборудования
ОП-2018-000616,МСТ-001,Инкай,СКВ-00616,2018-09-22,2018-10-09,823.9,857.2,17,ЗТР-04,580.69,674.36,93.67,2018,9,Q3,16.1,Транспорт и логистика
ОП-2018-000635,МСТ-004,Южный Инкай,СКВ-00635,2018-09-23,2018-10-05,550.9,563.4,12,ЗТР-05,557.34,653.02,95.68,2018,9,Q3,17.2,Амортизация оборудования
ОП-2018-000645,МСТ-005,Харасан,СКВ-00645,2018-09-23,2018-10-06,723.0,700.1,13,ЗТР-01,1658.73,1937.13,278.4,2018,9,Q3,16.8,ГСМ и топливо
ОП-2018-000645,МСТ-005,Харасан,СКВ-00645,2018-09-23,2018-10-06,723.0,700.1,13,ЗТР-02,3858.26,4499.54,641.28,2018,9,Q3,16.6,Заработная плата
ОП-2018-000645,МСТ-005,Харасан,СКВ-00645,2018-09-23,2018-10-06,723.0,700.1,13,ЗТР-03,2367.28,2748.0,380.72,2018,9,Q3,16.1,Материалы и запчасти
ОП-2018-000667,МСТ-006,Мынкудук,СКВ-00667,2018-09-24,2018-10-18,967.4,891.4,24,ЗТР-07,372.12,432.36,60.24,2018,9,Q3,16.2,Электроэнергия
ОП-2018-000650,МСТ-005,Харасан,СКВ-00650,2018-09-25,2018-10-07,745.3,693.1,12,ЗТР-08,438.68,506.68,68.0,2018,9,Q3,15.5,Охрана труда и ТБ
ОП-2018-000658,МСТ-006,Мынкудук,СКВ-00658,2018-09-25,2018-10-13,630.5,610.1,18,ЗТР-07,1047.81,1227.63,179.82,2018,9,Q3,17.2,Электроэнергия
ОП-2018-000658,МСТ-006,Мынкудук,СКВ-00658,2018-09-25,2018-10-13,630.5,610.1,18,ЗТР-05,701.35,815.32,113.97,2018,9,Q3,16.3,Амортизация оборудования
ОП-2018-000650,МСТ-005,Харасан,СКВ-00650,2018-09-25,2018-10-07,745.3,693.1,12,ЗТР-05,1599.39,1870.26,270.87,2018,9,Q3,16.9,Амортизация оборудования
ОП-2018-000657,МСТ-006,Мынкудук,СКВ-00657,2018-09-25,2018-10-06,461.0,435.0,11,ЗТР-05,1054.64,1230.06,175.42,2018,9,Q3,16.6,Амортизация оборудования
ОП-2018-000650,МСТ-005,Харасан,СКВ-00650,2018-09-25,2018-10-07,745.3,693.1,12,ЗТР-02,1589.1,1837.33,248.23,2018,9,Q3,15.6,Заработная плата
ОП-2018-000643,МСТ-004,Южный Инкай,СКВ-00643,2018-09-28,2018-10-13,952.6,877.4,15,ЗТР-06,1645.71,1915.69,269.98,2018,9,Q3,16.4,Подрядные работы
ОП-2018-000665,МСТ-006,Мынкудук,СКВ-00665,2018-09-28,2018-10-09,712.1,665.8,11,ЗТР-08,632.32,727.99,95.67,2018,9,Q3,15.1,Охрана труда и ТБ
ОП-2018-000734,МСТ-006,Мынкудук,СКВ-00734,2018-10-01,2018-10-14,588.8,565.4,13,ЗТР-07,664.28,778.24,113.96,2018,10,Q4,17.2,Электроэнергия
ОП-2018-000734,МСТ-006,Мынкудук,СКВ-00734,2018-10-01,2018-10-14,588.8,565.4,13,ЗТР-05,669.67,779.22,109.55,2018,10,Q4,16.4,Амортизация оборудования
ОП-2018-000695,МСТ-001,Инкай,СКВ-00695,2018-10-01,2018-10-11,482.9,511.1,10,ЗТР-08,343.37,401.82,58.45,2018,10,Q4,17.0,Охрана труда и ТБ
ОП-2018-000703,МСТ-001,Инкай,СКВ-00703,2018-10-02,2018-10-18,750.2,764.5,16,ЗТР-07,1436.44,1662.46,226.02,2018,10,Q4,15.7,Электроэнергия
ОП-2018-000703,МСТ-001,Инкай,СКВ-00703,2018-10-02,2018-10-18,750.2,764.5,16,ЗТР-02,2814.97,3244.98,430.01,2018,10,Q4,15.3,Заработная плата
ОП-2018-000763,МСТ-012,Заречное,СКВ-00763,2018-10-02,2018-10-12,563.6,539.3,10,ЗТР-05,2784.58,3247.53,462.95,2018,10,Q4,16.6,Амортизация оборудования
ОП-2018-000763,МСТ-012,Заречное,СКВ-00763,2018-10-02,2018-10-12,563.6,539.3,10,ЗТР-03,513.7,595.19,81.49,2018,10,Q4,15.9,Материалы и запчасти
ОП-2018-000699,МСТ-001,Инкай,СКВ-00699,2018-10-03,2018-10-25,650.6,677.7,22,ЗТР-05,1351.6,1580.17,228.57,2018,10,Q4,16.9,Амортизация оборудования
ОП-2018-000699,МСТ-001,Инкай,СКВ-00699,2018-10-03,2018-10-25,650.6,677.7,22,ЗТР-09,288.98,336.7,47.72,2018,10,Q4,16.5,Прочие расходы
ОП-2018-000710,МСТ-003,Акдала,СКВ-00710,2018-10-03,2018-10-20,599.3,604.8,17,ЗТР-05,1322.7,1542.96,220.26,2018,10,Q4,16.7,Амортизация оборудования
ОП-2018-000759,МСТ-012,Заречное,СКВ-00759,2018-10-03,2018-10-11,419.2,449.2,8,ЗТР-07,407.94,470.0,62.06,2018,10,Q4,15.2,Электроэнергия
ОП-2018-000699,МСТ-001,Инкай,СКВ-00699,2018-10-03,2018-10-25,650.6,677.7,22,ЗТР-02,2410.82,2775.28,364.46,2018,10,Q4,15.1,Заработная плата
ОП-2018-000710,МСТ-003,Акдала,СКВ-00710,2018-10-03,2018-10-20,599.3,604.8,17,ЗТР-07,971.99,1131.62,159.63,2018,10,Q4,16.4,Электроэнергия
ОП-2018-000725,МСТ-005,Харасан,СКВ-00725,2018-10-03,2018-10-13,469.1,516.7,10,ЗТР-08,386.07,449.93,63.86,2018,10,Q4,16.5,Охрана труда и ТБ
ОП-2018-000738,МСТ-007,Канжуган,СКВ-00738,2018-10-04,2018-10-13,311.8,309.2,9,ЗТР-04,997.86,1159.71,161.85,2018,10,Q4,16.2,Транспорт и логистика
ОП-2018-000738,МСТ-007,Канжуган,СКВ-00738,2018-10-04,2018-10-13,311.8,309.2,9,ЗТР-08,359.42,419.19,59.77,2018,10,Q4,16.6,Охрана труда и ТБ
ОП-2018-000751,МСТ-009,Ирколь,СКВ-00751,2018-10-05,2018-10-20,849.9,856.9,15,ЗТР-06,3292.65,3849.68,557.03,2018,10,Q4,16.9,Подрядные работы
ОП-2018-000728,МСТ-005,Харасан,СКВ-00728,2018-10-05,2018-10-19,498.8,531.9,14,ЗТР-03,1847.19,2165.92,318.73,2018,10,Q4,17.3,Материалы и запчасти
ОП-2018-000728,МСТ-005,Харасан,СКВ-00728,2018-10-05,2018-10-19,498.8,531.9,14,ЗТР-02,3209.85,3726.27,516.42,2018,10,Q4,16.1,Заработная плата
ОП-2018-000730,МСТ-005,Харасан,СКВ-00730,2018-10-06,2018-10-17,609.8,657.7,11,ЗТР-07,1115.29,1297.6,182.31,2018,10,Q4,16.3,Электроэнергия
ОП-2018-000708,МСТ-003,Акдала,СКВ-00708,2018-10-06,2018-10-24,655.2,677.2,18,ЗТР-05,1205.45,1395.43,189.98,2018,10,Q4,15.8,Амортизация оборудования
ОП-2018-000708,МСТ-003,Акдала,СКВ-00708,2018-10-06,2018-10-24,655.2,677.2,18,ЗТР-03,912.52,1061.01,148.49,2018,10,Q4,16.3,Материалы и запчасти
ОП-2018-000708,МСТ-003,Акдала,СКВ-00708,2018-10-06,2018-10-24,655.2,677.2,18,ЗТР-01,2907.78,3351.22,443.44,2018,10,Q4,15.3,ГСМ и топливо
ОП-2018-000752,МСТ-009,Ирколь,СКВ-00752,2018-10-06,2018-10-21,457.4,508.0,15,ЗТР-04,1584.66,1844.17,259.51,2018,10,Q4,16.4,Транспорт и логистика
ОП-2018-000705,МСТ-002,Буденовское,СКВ-00705,2018-10-08,2018-10-21,502.7,496.3,13,ЗТР-07,547.06,631.28,84.22,2018,10,Q4,15.4,Электроэнергия
ОП-2018-000705,МСТ-002,Буденовское,СКВ-00705,2018-10-08,2018-10-21,502.7,496.3,13,ЗТР-02,3910.69,4509.3,598.61,2018,10,Q4,15.3,Заработная плата
ОП-2018-000714,МСТ-003,Акдала,СКВ-00714,2018-10-08,2018-10-25,787.3,810.7,17,ЗТР-06,3260.34,3834.61,574.27,2018,10,Q4,17.6,Подрядные работы
ОП-2018-000731,МСТ-006,Мынкудук,СКВ-00731,2018-10-09,2018-10-19,543.2,529.5,10,ЗТР-01,2379.1,2774.56,395.46,2018,10,Q4,16.6,ГСМ и топливо
ОП-2018-000766,МСТ-012,Заречное,СКВ-00766,2018-10-09,2018-10-28,694.6,759.8,19,ЗТР-01,1470.86,1716.61,245.75,2018,10,Q4,16.7,ГСМ и топливо
ОП-2018-000713,МСТ-003,Акдала,СКВ-00713,2018-10-10,2018-10-27,682.5,697.9,17,ЗТР-01,4305.38,4993.71,688.33,2018,10,Q4,16.0,ГСМ и топливо
ОП-2018-000737,МСТ-006,Мынкудук,СКВ-00737,2018-10-10,2018-10-24,479.5,475.0,14,ЗТР-01,1459.49,1691.09,231.6,2018,10,Q4,15.9,ГСМ и топливо
ОП-2018-000713,МСТ-003,Акдала,СКВ-00713,2018-10-10,2018-10-27,682.5,697.9,17,ЗТР-03,1950.05,2275.08,325.03,2018,10,Q4,16.7,Материалы и запчасти
ОП-2018-000743,МСТ-007,Канжуган,СКВ-00743,2018-10-10,2018-10-22,459.1,447.0,12,ЗТР-01,2806.66,3271.07,464.41,2018,10,Q4,16.5,ГСМ и топливо
ОП-2018-000743,МСТ-007,Канжуган,СКВ-00743,2018-10-10,2018-10-22,459.1,447.0,12,ЗТР-09,158.62,184.88,26.26,2018,10,Q4,16.6,Прочие расходы
ОП-2018-000706,МСТ-002,Буденовское,СКВ-00706,2018-10-11,2018-10-24,397.1,423.5,13,ЗТР-02,2595.11,2993.43,398.32,2018,10,Q4,15.3,Заработная плата
ОП-2018-000729,МСТ-005,Харасан,СКВ-00729,2018-10-11,2018-10-26,683.6,730.7,15,ЗТР-01,4385.0,5128.43,743.43,2018,10,Q4,17.0,ГСМ и топливо
ОП-2018-000706,МСТ-002,Буденовское,СКВ-00706,2018-10-11,2018-10-24,397.1,423.5,13,ЗТР-01,2715.89,3185.71,469.82,2018,10,Q4,17.3,ГСМ и топливо
ОП-2018-000729,МСТ-005,Харасан,СКВ-00729,2018-10-11,2018-10-26,683.6,730.7,15,ЗТР-07,879.65,1012.34,132.69,2018,10,Q4,15.1,Электроэнергия
ОП-2018-000761,МСТ-012,Заречное,СКВ-00761,2018-10-13,2018-10-26,511.3,540.2,13,ЗТР-07,496.05,573.63,77.58,2018,10,Q4,15.6,Электроэнергия
ОП-2018-000724,МСТ-005,Харасан,СКВ-00724,2018-10-13,2018-10-23,573.6,523.3,10,ЗТР-02,3584.06,4168.24,584.18,2018,10,Q4,16.3,Заработная плата
ОП-2018-000696,МСТ-001,Инкай,СКВ-00696,2018-10-13,2018-10-31,796.5,756.9,18,ЗТР-02,3286.66,3790.9,504.24,2018,10,Q4,15.3,Заработная плата
ОП-2018-000696,МСТ-001,Инкай,СКВ-00696,2018-10-13,2018-10-31,796.5,756.9,18,ЗТР-04,743.09,869.39,126.3,2018,10,Q4,17.0,Транспорт и логистика
ОП-2018-000736,МСТ-006,Мынкудук,СКВ-00736,2018-10-15,2018-10-29,481.6,515.4,14,ЗТР-09,336.6,389.65,53.05,2018,10,Q4,15.8,Прочие расходы
ОП-2018-000700,МСТ-001,Инкай,СКВ-00700,2018-10-16,2018-10-30,944.8,861.6,14,ЗТР-01,2346.97,2747.27,400.3,2018,10,Q4,17.1,ГСМ и топливо
ОП-2018-000698,МСТ-001,Инкай,СКВ-00698,2018-10-16,2018-11-04,915.5,835.6,19,ЗТР-03,1568.58,1829.04,260.46,2018,10,Q4,16.6,Материалы и запчасти
ОП-2018-000698,МСТ-001,Инкай,СКВ-00698,2018-10-16,2018-11-04,915.5,835.6,19,ЗТР-04,853.95,998.91,144.96,2018,10,Q4,17.0,Транспорт и логистика
ОП-2018-000732,МСТ-006,Мынкудук,СКВ-00732,2018-10-17,2018-11-09,889.2,857.5,23,ЗТР-04,822.46,950.9,128.44,2018,10,Q4,15.6,Транспорт и логистика
ОП-2018-000715,МСТ-004,Южный Инкай,СКВ-00715,2018-10-18,2018-10-26,387.1,414.9,8,ЗТР-06,304.47,357.32,52.85,2018,10,Q4,17.4,Подрядные работы
ОП-2018-000740,МСТ-007,Канжуган,СКВ-00740,2018-10-18,2018-10-24,403.2,382.3,6,ЗТР-07,546.59,631.15,84.56,2018,10,Q4,15.5,Электроэнергия
ОП-2018-000757,МСТ-011,Северный Харасан,СКВ-00757,2018-10-19,2018-10-28,268.1,297.2,9,ЗТР-06,1496.78,1744.0,247.22,2018,10,Q4,16.5,Подрядные работы
ОП-2018-000757,МСТ-011,Северный Харасан,СКВ-00757,2018-10-19,2018-10-28,268.1,297.2,9,ЗТР-03,1302.19,1513.16,210.97,2018,10,Q4,16.2,Материалы и запчасти
ОП-2018-000739,МСТ-007,Канжуган,СКВ-00739,2018-10-19,2018-10-30,360.9,375.8,11,ЗТР-08,86.46,101.25,14.79,2018,10,Q4,17.1,Охрана труда и ТБ
ОП-2018-000739,МСТ-007,Канжуган,СКВ-00739,2018-10-19,2018-10-30,360.9,375.8,11,ЗТР-02,1998.45,2302.38,303.93,2018,10,Q4,15.2,Заработная плата
ОП-2018-000762,МСТ-012,Заречное,СКВ-00762,2018-10-20,2018-10-28,550.6,508.9,8,ЗТР-03,2094.62,2419.57,324.95,2018,10,Q4,15.5,Материалы и запчасти
