номер_скважины,наименование_месторождения,глубина_факт_м,год,total_plan,total_fact,cost_per_meter,variance_pct,is_anomaly
СКВ-00334,Харасан,736.4,2018,13579.73,14883.27,20.21,9.6,False
СКВ-00335,Харасан,460.3,2018,10004.58,10588.9,23.0,5.8,False
СКВ-00336,Харасан,590.0,2018,12215.900000000001,12179.0,20.64,-0.3,False
СКВ-00337,Мынкудук,643.4,2018,14918.619999999999,15170.0,23.58,1.7,False
СКВ-00338,Мынкудук,795.4,2018,17599.98,18691.14,23.5,6.2,False
СКВ-00339,Мынкудук,412.0,2018,8581.61,8859.73,21.5,3.2,False
СКВ-00340,Мынкудук,804.7,2018,16780.47,17364.13,21.58,3.5,False
СКВ-00341,Мынкудук,695.3,2018,12600.68,12757.800000000001,18.35,1.2,False
СКВ-00342,Мынкудук,705.7,2018,17271.59,18347.64,26.0,6.2,False
СКВ-00343,Мынкудук,521.6,2018,10698.54,11097.42,21.28,3.7,False
СКВ-00344,Мынкудук,670.6,2018,14444.59,14847.199999999999,22.14,2.8,False
СКВ-00345,Мынкудук,583.6,2018,12763.77,13447.1,23.04,5.4,False
СКВ-00346,Мынкудук,648.2,2018,14573.35,14919.17,23.02,2.4,False
СКВ-00347,Мынкудук,473.1,2018,10952.69,11313.02,23.91,3.3,False
СКВ-00348,Мынкудук,453.9,2018,10572.96,11278.89,24.85,6.7,False
СКВ-00349,Канжуган,527.0,2018,14438.23,14783.34,28.05,2.4,False
СКВ-00350,Канжуган,270.9,2018,7598.21,7788.610000000001,28.75,2.5,False
СКВ-00351,Канжуган,319.6,2018,6204.75,6587.0,20.61,6.2,False
СКВ-00352,Канжуган,472.7,2018,7871.320000000001,8601.210000000001,18.2,9.3,False
СКВ-00353,Канжуган,514.2,2018,13114.98,13946.57,27.12,6.3,False
СКВ-00354,Уванас,649.7,2018,16768.93,16603.18,25.56,-1.0,False
СКВ-00355,Уванас,791.9,2018,23441.210000000003,25366.5,32.03,8.2,False
СКВ-00356,Уванас,758.7,2018,15759.06,16609.07,21.89,5.4,False
СКВ-00357,Уванас,477.3,2018,9006.12,9745.15,20.42,8.2,False
СКВ-00358,Уванас,573.3,2018,12941.63,13673.83,23.85,5.7,False
СКВ-00359,Уванас,804.3,2018,20383.15,21404.85,26.61,5.0,False
СКВ-00360,Уванас,671.4,2018,11372.7,12326.34,18.36,8.4,False
СКВ-00361,Уванас,438.5,2018,8294.2,8899.6,20.3,7.3,False
СКВ-00362,Ирколь,532.4,2018,11534.93,12611.94,23.69,9.3,False
СКВ-00363,Ирколь,881.7,2018,23277.41,24873.38,28.21,6.9,False
СКВ-00364,Ирколь,687.5,2018,10828.54,11884.359999999999,17.29,9.8,False
СКВ-00365,Ирколь,836.4,2018,17733.49,19196.260000000002,22.95,8.2,False
СКВ-00366,Ирколь,814.3,2018,17455.84,18247.12,22.41,4.5,False
СКВ-00367,Ирколь,579.4,2018,15157.83,15516.460000000001,26.78,2.4,False
СКВ-00368,Ирколь,429.6,2018,8008.37,8178.08,19.04,2.1,False
СКВ-00369,Северный Харасан,383.0,2018,9452.43,9530.07,24.88,0.8,False
СКВ-00370,Северный Харасан,231.3,2018,4202.11,4469.96,19.33,6.4,False
СКВ-00371,Северный Харасан,264.8,2018,4524.7,4749.15,17.93,5.0,False
СКВ-00372,Заречное,430.9,2018,8500.61,8561.71,19.87,0.7,False
СКВ-00373,Заречное,851.9,2018,14346.810000000001,15651.220000000001,18.37,9.1,False
СКВ-00374,Заречное,833.0,2018,16597.43,17513.62,21.02,5.5,False
СКВ-00375,Заречное,413.3,2018,7638.349999999999,7982.4,19.31,4.5,False
СКВ-00376,Заречное,585.8,2018,12735.09,12753.93,21.77,0.1,False
СКВ-00377,Заречное,681.1,2018,15139.42,16597.0,24.37,9.6,False
СКВ-00378,Инкай,585.6,2018,11571.34,13064.18,22.31,12.9,False
СКВ-00379,Инкай,650.1,2018,13718.56,14120.22,21.72,2.9,False
СКВ-00380,Инкай,690.6,2018,17751.77,18811.77,27.24,6.0,False
СКВ-00381,Инкай,668.8,2018,9330.36,10051.49,15.03,7.7,False
СКВ-00382,Инкай,422.7,2018,9254.72,9731.869999999999,23.02,5.2,False
СКВ-00383,Инкай,503.7,2018,10380.69,11003.93,21.85,6.0,False
СКВ-00384,Инкай,885.5,2018,13398.17,14767.36,16.68,10.2,False
СКВ-00385,Инкай,599.2,2018,13587.369999999999,14452.960000000001,24.12,6.4,False
СКВ-00386,Инкай,535.8,2018,11132.53,11447.04,21.36,2.8,False
СКВ-00387,Буденовское,445.0,2018,9919.76,10604.3,23.83,6.9,False
СКВ-00388,Буденовское,430.0,2018,8511.1,9235.5,21.48,8.5,False
СКВ-00389,Буденовское,596.2,2018,8815.27,8967.98,15.04,1.7,False
СКВ-00390,Буденовское,447.2,2018,10016.210000000001,10414.130000000001,23.29,4.0,False
СКВ-00391,Буденовское,508.6,2018,10572.02,11218.87,22.06,6.1,False
СКВ-00392,Буденовское,576.0,2018,14816.82,14809.72,25.71,-0.0,False
СКВ-00393,Буденовское,200.4,2018,3831.4300000000003,4037.0099999999998,20.14,5.4,False
СКВ-00394,Акдала,553.9,2018,12689.27,12522.25,22.61,-1.3,False
СКВ-00395,Акдала,487.9,2018,8159.56,8349.29,17.11,2.3,False
СКВ-00396,Акдала,826.5,2018,14442.1,15212.82,18.41,5.3,False
СКВ-00397,Акдала,816.8,2018,17660.8,18193.5,22.27,3.0,False
СКВ-00398,Акдала,849.7,2018,17279.05,18257.64,21.49,5.7,False
СКВ-00399,Акдала,474.6,2018,10043.789999999999,10458.5,22.04,4.1,False
СКВ-00400,Южный Инкай,402.7,2018,6019.18,6456.09,16.03,7.3,False
СКВ-00401,Южный Инкай,496.9,2018,11324.19,11864.06,23.88,4.8,False
СКВ-00402,Южный Инкай,596.4,2018,10771.49,11925.89,20.0,10.7,False
СКВ-00403,Южный Инкай,816.3,2018,26111.23,28488.88,34.9,9.1,False
СКВ-00404,Южный Инкай,431.0,2018,8650.37,8827.79,20.48,2.1,False
СКВ-00405,Южный Инкай,422.9,2018,13352.73,13405.22,31.7,0.4,False
СКВ-00406,Южный Инкай,439.6,2018,8991.27,9325.35,21.21,3.7,False
СКВ-00407,Южный Инкай,477.2,2018,10589.26,11409.560000000001,23.91,7.7,False
СКВ-00408,Харасан,835.9,2018,16527.12,17397.69,20.81,5.3,False
СКВ-00409,Харасан,884.0,2018,13692.4,14661.490000000002,16.59,7.1,False
СКВ-00410,Харасан,600.6,2018,11524.13,11804.66,19.65,2.4,False
СКВ-00411,Харасан,465.1,2018,12662.400000000001,12659.380000000001,27.22,-0.0,False
СКВ-00412,Харасан,851.9,2018,12770.76,13304.5,15.62,4.2,False
СКВ-00413,Харасан,504.0,2018,10900.74,11972.25,23.75,9.8,False
СКВ-00414,Харасан,644.3,2018,15075.51,15961.48,24.77,5.9,False
СКВ-00415,Харасан,731.7,2018,11721.59,12143.380000000001,16.6,3.6,False
СКВ-00416,Харасан,610.7,2018,11451.03,12099.04,19.81,5.7,False
СКВ-00417,Харасан,467.2,2018,13509.1,13935.98,29.83,3.2,False
СКВ-00418,Харасан,877.0,2018,14035.07,14875.53,16.96,6.0,False
СКВ-00419,Мынкудук,613.1,2018,11641.87,12252.54,19.98,5.2,False
СКВ-00420,Мынкудук,882.2,2018,16989.02,17723.14,20.09,4.3,False
СКВ-00421,Мынкудук,529.4,2018,12245.18,12829.01,24.23,4.8,False
СКВ-00422,Мынкудук,724.9,2018,17846.65,18606.72,25.67,4.3,False
СКВ-00423,Мынкудук,458.2,2018,7199.39,7812.950000000001,17.05,8.5,False
СКВ-00424,Мынкудук,601.2,2018,7997.51,8743.92,14.54,9.3,False
СКВ-00425,Мынкудук,776.4,2018,12681.26,12817.44,16.51,1.1,False
СКВ-00426,Мынкудук,816.6,2018,25377.64,26277.43,32.18,3.5,False
СКВ-00427,Мынкудук,447.4,2018,9014.67,9454.71,21.13,4.9,False
СКВ-00428,Мынкудук,622.1,2018,14285.81,15239.52,24.5,6.7,False
СКВ-00429,Мынкудук,867.9,2018,16022.18,16632.46,19.16,3.8,False
СКВ-00430,Мынкудук,713.2,2018,11157.96,11612.119999999999,16.28,4.1,False
СКВ-00431,Мынкудук,614.6,2018,14505.48,15338.3,24.96,5.7,False
СКВ-00432,Канжуган,360.0,2018,9061.119999999999,9202.33,25.56,1.6,False
СКВ-00433,Канжуган,310.1,2018,7052.02,7407.82,23.89,5.0,False
СКВ-00434,Канжуган,276.3,2018,4458.59,4763.0199999999995,17.24,6.8,False
СКВ-00435,Канжуган,510.9,2018,11870.460000000001,12051.9,23.59,1.5,False
СКВ-00436,Уванас,714.7,2018,16186.14,17064.41,23.88,5.4,False
СКВ-00437,Уванас,845.2,2018,18089.08,18195.45,21.53,0.6,False
СКВ-00438,Уванас,541.1,2018,10828.16,11416.4,21.1,5.4,False
СКВ-00439,Уванас,627.0,2018,11933.02,12985.470000000001,20.71,8.8,False
СКВ-00440,Ирколь,543.8,2018,12971.52,13778.17,25.34,6.2,False
СКВ-00441,Ирколь,550.3,2018,8255.47,8534.24,15.51,3.4,False
СКВ-00442,Ирколь,668.6,2018,12006.98,13008.52,19.46,8.3,False
СКВ-00443,Ирколь,614.7,2018,13185.14,14044.4,22.85,6.5,False
СКВ-00444,Ирколь,568.0,2018,12278.76,12895.08,22.7,5.0,False
СКВ-00445,Ирколь,762.6,2018,14681.05,15684.96,20.57,6.8,False
СКВ-00446,Ирколь,606.5,2018,13656.0,13787.400000000001,22.73,1.0,False
СКВ-00447,Северный Харасан,237.1,2018,7567.7,7879.5,33.23,4.1,False
СКВ-00448,Северный Харасан,274.1,2018,5047.4,5357.46,19.55,6.1,False
СКВ-00449,Заречное,423.8,2018,8085.08,8783.58,20.73,8.6,False
СКВ-00450,Заречное,585.3,2018,10463.21,11732.68,20.05,12.1,False
СКВ-00451,Заречное,568.7,2018,11420.83,11687.68,20.55,2.3,False
СКВ-00452,Заречное,891.7,2018,21412.370000000003,21282.29,23.87,-0.6,False
СКВ-00453,Заречное,424.9,2018,9908.48,10492.53,24.69,5.9,False
СКВ-00454,Заречное,883.2,2018,17569.02,19211.18,21.75,9.3,False
СКВ-00455,Заречное,661.6,2018,10522.19,11130.21,16.82,5.8,False
СКВ-00456,Заречное,479.3,2018,10169.38,10579.58,22.07,4.0,False
СКВ-00457,Инкай,865.9,2018,15745.92,16263.81,18.78,3.3,False
СКВ-00458,Инкай,528.7,2018,9338.29,9740.470000000001,18.42,4.3,False
СКВ-00459,Инкай,785.1,2018,16439.579999999998,17782.13,22.65,8.2,False
СКВ-00460,Инкай,874.6,2018,16410.0,17366.06,19.86,5.8,False
СКВ-00461,Инкай,769.4,2018,17255.3,18621.51,24.2,7.9,False
СКВ-00462,Инкай,723.8,2018,15441.2,15813.99,21.85,2.4,False
СКВ-00463,Инкай,622.9,2018,8274.7,8697.33,13.96,5.1,False
СКВ-00464,Инкай,772.7,2018,18393.489999999998,18310.5,23.7,-0.5,False
СКВ-00465,Инкай,783.9,2018,14537.29,14890.880000000001,19.0,2.4,False
СКВ-00466,Инкай,411.3,2018,9540.33,10212.63,24.83,7.0,False
СКВ-00467,Инкай,407.2,2018,5826.219999999999,6170.889999999999,15.15,5.9,False
СКВ-00468,Инкай,589.0,2018,11659.44,12801.34,21.73,9.8,False
СКВ-00469,Инкай,571.7,2018,11278.99,11595.47,20.28,2.8,False
СКВ-00470,Инкай,502.3,2018,8516.83,8880.68,17.68,4.3,False
СКВ-00471,Буденовское,221.8,2018,5579.4400000000005,5736.79,25.86,2.8,False
СКВ-00472,Буденовское,454.0,2018,10898.8,10884.58,23.97,-0.1,False
СКВ-00473,Буденовское,508.9,2018,13080.050000000001,13717.54,26.96,4.9,False
СКВ-00474,Буденовское,359.0,2018,12970.230000000001,13845.75,38.57,6.8,False
СКВ-00475,Буденовское,277.8,2018,4937.6,5128.98,18.46,3.9,False
СКВ-00476,Буденовское,341.1,2018,7980.65,8057.67,23.62,1.0,False
СКВ-00477,Буденовское,203.6,2018,6438.71,6965.03,34.21,8.2,False
СКВ-00478,Буденовское,363.7,2018,6764.96,7267.85,19.98,7.4,False
СКВ-00479,Акдала,717.2,2018,12430.83,13303.62,18.55,7.0,False
СКВ-00480,Акдала,424.0,2018,7843.339999999999,7995.28,18.86,1.9,False
СКВ-00481,Акдала,525.1,2018,10723.77,11143.83,21.22,3.9,False
СКВ-00482,Акдала,783.4,2018,16576.96,17046.91,21.76,2.8,False
СКВ-00483,Акдала,881.5,2018,19227.98,20264.48,22.99,5.4,False
СКВ-00484,Акдала,886.0,2018,18998.1,19314.3,21.8,1.7,False
СКВ-00485,Акдала,541.3,2018,9577.73,10258.07,18.95,7.1,False
СКВ-00486,Южный Инкай,666.7,2018,14881.98,16079.1,24.12,8.0,False
СКВ-00487,Южный Инкай,543.1,2018,11655.26,12392.25,22.82,6.3,False
СКВ-00488,Южный Инкай,756.9,2018,13763.57,14328.02,18.93,4.1,False
СКВ-00489,Южный Инкай,627.2,2018,14252.04,14884.3,23.73,4.4,False
СКВ-00490,Южный Инкай,869.1,2018,17185.29,17643.72,20.3,2.7,False
СКВ-00491,Южный Инкай,870.3,2018,15930.3,16601.95,19.08,4.2,False
СКВ-00492,Южный Инкай,521.5,2018,9364.88,9892.34,18.97,5.6,False
СКВ-00493,Южный Инкай,437.2,2018,7742.33,7985.29,18.26,3.1,False
СКВ-00494,Южный Инкай,515.6,2018,6964.799999999999,7629.400000000001,14.8,9.5,False
СКВ-00495,Южный Инкай,551.8,2018,12850.68,13765.29,24.95,7.1,False
СКВ-00496,Харасан,592.3,2018,9779.289999999999,10001.3,16.89,2.3,False
СКВ-00497,Харасан,783.1,2018,12872.96,13128.130000000001,16.76,2.0,False
СКВ-00498,Харасан,784.0,2018,17637.82,18593.829999999998,23.72,5.4,False
СКВ-00499,Харасан,513.8,2018,9844.630000000001,9946.210000000001,19.36,1.0,False
СКВ-00500,Харасан,570.8,2018,10940.58,11325.36,19.84,3.5,False
СКВ-00501,Харасан,604.9,2018,12439.25,13115.99,21.68,5.4,False
СКВ-00502,Харасан,716.6,2018,13621.380000000001,14361.02,20.04,5.4,False
СКВ-00503,Мынкудук,738.0,2018,15624.2,16349.26,22.15,4.6,False
СКВ-00504,Мынкудук,635.8,2018,11143.82,11384.98,17.91,2.2,False
СКВ-00505,Мынкудук,648.5,2018,12021.89,12759.630000000001,19.68,6.1,False
СКВ-00506,Мынкудук,716.4,2018,17216.98,17645.36,24.63,2.5,False
СКВ-00507,Мынкудук,413.5,2018,11526.8,12213.17,29.54,6.0,False
СКВ-00508,Мынкудук,898.9,2018,20961.82,22525.06,25.06,7.5,False
СКВ-00509,Мынкудук,416.6,2018,5715.58,5875.62,14.1,2.8,False
СКВ-00510,Канжуган,245.4,2018,3704.92,3915.2200000000003,15.95,5.7,False
СКВ-00511,Канжуган,458.2,2018,9552.15,10440.89,22.79,9.3,False
СКВ-00512,Канжуган,218.1,2018,4375.96,4576.28,20.98,4.6,False
СКВ-00513,Канжуган,383.9,2018,7188.21,7600.27,19.8,5.7,False
СКВ-00514,Уванас,892.8,2018,20302.32,21657.79,24.26,6.7,False
СКВ-00515,Уванас,584.0,2018,11423.87,11884.32,20.35,4.0,False
СКВ-00516,Уванас,774.7,2018,13351.8,13821.62,17.84,3.5,False
СКВ-00517,Уванас,784.0,2018,12416.86,12822.24,16.35,3.3,False
СКВ-00518,Уванас,731.6,2018,16764.97,17399.8,23.78,3.8,False
СКВ-00519,Ирколь,437.3,2018,8937.880000000001,9337.26,21.35,4.5,False
СКВ-00520,Ирколь,677.5,2018,13758.49,14715.84,21.72,7.0,False
СКВ-00521,Ирколь,471.0,2018,9865.16,10174.93,21.6,3.1,False
СКВ-00522,Ирколь,521.4,2018,8576.880000000001,8928.16,17.12,4.1,False
СКВ-00523,Ирколь,693.2,2018,14879.529999999999,16212.32,23.39,9.0,False
СКВ-00524,Ирколь,741.5,2018,15172.93,15908.849999999999,21.45,4.9,False
СКВ-00525,Ирколь,836.4,2018,15366.9,15711.81,18.79,2.2,False
СКВ-00526,Ирколь,595.5,2018,11503.67,11922.22,20.02,3.6,False
СКВ-00527,Северный Харасан,304.5,2018,6016.27,6616.82,21.73,10.0,False
СКВ-00528,Северный Харасан,582.7,2018,11881.48,12203.16,20.94,2.7,False
СКВ-00529,Северный Харасан,521.3,2018,10137.98,10509.39,20.16,3.7,False
СКВ-00530,Заречное,443.5,2018,6778.75,6997.48,15.78,3.2,False
СКВ-00531,Заречное,680.3,2018,11998.06,12992.85,19.1,8.3,False
СКВ-00532,Заречное,469.6,2018,6721.13,7643.93,16.28,13.7,False
СКВ-00533,Заречное,709.3,2018,13164.45,13953.64,19.67,6.0,False
СКВ-00534,Заречное,692.8,2018,13739.22,14787.51,21.34,7.6,False
СКВ-00535,Заречное,740.8,2018,12219.619999999999,12841.17,17.33,5.1,False
СКВ-00536,Заречное,543.7,2018,8327.61,8896.21,16.36,6.8,False
СКВ-00537,Заречное,609.7,2018,12906.58,13177.42,21.61,2.1,False
СКВ-00538,Заречное,565.7,2018,10683.98,11008.06,19.46,3.0,False
СКВ-00539,Инкай,692.2,2018,16456.45,16876.13,24.38,2.6,False
СКВ-00540,Инкай,756.3,2018,11095.189999999999,11967.94,15.82,7.9,False
СКВ-00541,Инкай,817.7,2018,14701.44,16015.32,19.59,8.9,False
СКВ-00542,Инкай,573.7,2018,10593.28,11133.59,19.41,5.1,False
СКВ-00543,Инкай,538.1,2018,11526.62,12123.85,22.53,5.2,False
СКВ-00544,Инкай,574.1,2018,12218.34,13615.77,23.72,11.4,False
СКВ-00545,Инкай,631.1,2018,16625.19,17257.77,27.35,3.8,False
СКВ-00546,Инкай,520.2,2018,11358.34,11744.64,22.58,3.4,False
СКВ-00547,Буденовское,298.1,2018,6537.32,6800.83,22.81,4.0,False
СКВ-00548,Буденовское,211.3,2018,4892.15,5240.9,24.8,7.1,False
СКВ-00549,Буденовское,416.5,2018,8680.38,9258.19,22.23,6.7,False
СКВ-00550,Буденовское,315.6,2018,7475.42,7978.9,25.28,6.7,False
СКВ-00551,Буденовское,337.5,2018,6867.49,7291.5,21.6,6.2,False
СКВ-00552,Буденовское,392.9,2018,7563.990000000001,8008.77,20.38,5.9,False
СКВ-00553,Буденовское,512.4,2018,11976.380000000001,12478.84,24.35,4.2,False
СКВ-00554,Буденовское,561.2,2018,13484.26,14102.07,25.13,4.6,False
СКВ-00555,Акдала,570.7,2018,8336.61,8892.36,15.58,6.7,False
СКВ-00556,Акдала,536.3,2018,10315.58,10861.1,20.25,5.3,False
СКВ-00557,Акдала,537.5,2018,9942.130000000001,10088.83,18.77,1.5,False
СКВ-00558,Акдала,565.4,2018,11640.97,11916.369999999999,21.08,2.4,False
СКВ-00559,Акдала,798.5,2018,14924.91,15725.94,19.69,5.4,False
СКВ-00560,Акдала,565.0,2018,10071.85,10764.55,19.05,6.9,False
СКВ-00561,Акдала,518.2,2018,9619.27,10435.14,20.14,8.5,False
СКВ-00562,Акдала,833.4,2018,15089.16,15909.39,19.09,5.4,False
СКВ-00563,Акдала,556.6,2018,11370.92,11437.77,20.55,0.6,False
СКВ-00564,Акдала,854.5,2018,17150.85,18658.55,21.84,8.8,False
СКВ-00565,Акдала,705.8,2018,15051.02,15958.1,22.61,6.0,False
СКВ-00566,Южный Инкай,513.3,2018,8645.94,9230.51,17.98,6.8,False
СКВ-00567,Южный Инкай,700.4,2018,14533.22,15301.609999999999,21.85,5.3,False
СКВ-00568,Южный Инкай,476.8,2018,10100.550000000001,10537.1,22.1,4.3,False
СКВ-00569,Южный Инкай,870.7,2018,18817.07,19617.66,22.53,4.3,False
СКВ-00570,Южный Инкай,465.6,2018,8551.07,9172.36,19.7,7.3,False
СКВ-00571,Южный Инкай,805.3,2018,13757.18,14289.95,17.74,3.9,False
СКВ-00572,Южный Инкай,754.9,2018,17255.61,17481.0,23.16,1.3,False
СКВ-00573,Южный Инкай,524.8,2018,9080.16,9400.619999999999,17.91,3.5,False
СКВ-00574,Харасан,425.5,2018,5786.87,6130.459999999999,14.41,5.9,False
СКВ-00575,Харасан,824.4,2018,17303.84,19113.98,23.19,10.5,False
СКВ-00576,Харасан,515.9,2018,16138.9,17391.899999999998,33.71,7.8,False
СКВ-00577,Харасан,776.8,2018,15654.33,17240.79,22.19,10.1,False
СКВ-00578,Харасан,851.7,2018,14452.84,15050.56,17.67,4.1,False
СКВ-00579,Харасан,479.9,2018,6498.62,6854.56,14.28,5.5,False
СКВ-00580,Харасан,584.4,2018,11895.3,12446.400000000001,21.3,4.6,False
СКВ-00581,Харасан,834.7,2018,16750.350000000002,17292.25,20.72,3.2,False
СКВ-00582,Харасан,503.5,2018,10233.62,10967.59,21.78,7.2,False
СКВ-00583,Мынкудук,719.4,2018,13714.7,14075.0,19.56,2.6,False
СКВ-00584,Мынкудук,672.8,2018,12714.44,13488.65,20.05,6.1,False
СКВ-00585,Мынкудук,818.5,2018,14550.29,15088.76,18.43,3.7,False
СКВ-00586,Мынкудук,693.0,2018,19161.780000000002,20263.46,29.24,5.7,False
СКВ-00587,Мынкудук,747.1,2018,14918.539999999999,15747.7,21.08,5.6,False
СКВ-00588,Мынкудук,723.7,2018,15365.720000000001,15424.74,21.31,0.4,False
СКВ-00589,Мынкудук,762.4,2018,17419.15,18212.55,23.89,4.6,False
СКВ-00590,Канжуган,421.9,2018,10061.43,10244.39,24.28,1.8,False
СКВ-00591,Канжуган,362.6,2018,6757.24,7148.12,19.71,5.8,False
СКВ-00592,Уванас,711.8,2018,19868.920000000002,19968.89,28.05,0.5,False
СКВ-00593,Уванас,579.6,2018,14865.33,15269.84,26.35,2.7,False
СКВ-00594,Уванас,838.0,2018,25817.469999999998,27665.79,33.01,7.2,False
СКВ-00595,Уванас,858.2,2018,14459.51,14936.34,17.4,3.3,False
СКВ-00596,Уванас,839.5,2018,18281.67,20164.45,24.02,10.3,False
СКВ-00597,Ирколь,521.6,2018,12620.33,13251.52,25.41,5.0,False
СКВ-00598,Ирколь,544.9,2018,10016.42,10085.16,18.51,0.7,False
СКВ-00599,Ирколь,606.7,2018,14829.75,16165.17,26.64,9.0,False
СКВ-00600,Ирколь,592.4,2018,10034.94,10456.71,17.65,4.2,False
СКВ-00601,Ирколь,702.3,2018,15339.87,16219.949999999999,23.1,5.7,False
СКВ-00602,Ирколь,507.1,2018,9651.33,9850.66,19.43,2.1,False
СКВ-00603,Ирколь,810.9,2018,26531.75,27354.22,33.73,3.1,False
СКВ-00604,Ирколь,742.1,2018,16273.11,17620.08,23.74,8.3,False
СКВ-00605,Северный Харасан,358.5,2018,8971.99,9292.85,25.92,3.6,False
СКВ-00606,Северный Харасан,500.2,2018,11026.58,11384.529999999999,22.76,3.2,False
СКВ-00607,Заречное,411.8,2018,9596.18,9874.460000000001,23.98,2.9,False
СКВ-00608,Заречное,786.1,2018,16068.55,16675.41,21.21,3.8,False
СКВ-00609,Заречное,834.7,2018,22101.28,24547.5,29.41,11.1,False
СКВ-00610,Заречное,535.2,2018,12806.99,13966.05,26.1,9.1,False
СКВ-00611,Заречное,846.9,2018,19573.769999999997,21323.7,25.18,8.9,False
СКВ-00612,Заречное,870.3,2018,17246.76,18098.0,20.8,4.9,False
СКВ-00613,Заречное,871.2,2018,21678.260000000002,23180.41,26.61,6.9,False
СКВ-00614,Заречное,810.0,2018,15352.46,15788.66,19.49,2.8,False
СКВ-00615,Заречное,670.4,2018,12089.61,12446.76,18.57,3.0,False
СКВ-00616,Инкай,857.2,2018,21002.79,21921.239999999998,25.57,4.4,False
СКВ-00617,Инкай,558.2,2018,12223.279999999999,12992.22,23.28,6.3,False
СКВ-00618,Инкай,476.1,2018,18732.53,18680.38,39.24,-0.3,False
СКВ-00619,Инкай,862.5,2018,13763.91,14666.369999999999,17.0,6.6,False
СКВ-00620,Инкай,514.5,2018,11032.48,11684.27,22.71,5.9,False
СКВ-00621,Инкай,770.7,2018,13568.49,14250.09,18.49,5.0,False
СКВ-00622,Инкай,563.5,2018,9814.23,10194.81,18.09,3.9,False
СКВ-00623,Инкай,803.4,2018,19441.69,20298.27,25.27,4.4,False
СКВ-00624,Инкай,797.3,2018,18189.56,19260.6,24.16,5.9,False
СКВ-00625,Буденовское,332.5,2018,7708.33,8001.85,24.07,3.8,False
СКВ-00626,Буденовское,347.7,2018,8839.14,9331.72,26.84,5.6,False
СКВ-00627,Буденовское,446.2,2018,12375.76,12837.08,28.77,3.7,False
СКВ-00628,Акдала,508.9,2018,8170.13,8411.87,16.53,3.0,False
СКВ-00629,Акдала,864.6,2018,17931.09,18329.7,21.2,2.2,False
СКВ-00630,Акдала,831.2,2018,17737.68,19509.39,23.47,10.0,False
СКВ-00631,Акдала,584.1,2018,13665.990000000002,14216.97,24.34,4.0,False
СКВ-00632,Акдала,635.7,2018,14481.550000000001,14652.980000000001,23.05,1.2,False
СКВ-00633,Акдала,453.1,2018,9530.89,10634.380000000001,23.47,11.6,False
СКВ-00634,Акдала,532.5,2018,9942.22,10722.64,20.14,7.8,False
СКВ-00635,Южный Инкай,563.4,2018,11780.18,12406.31,22.02,5.3,False
СКВ-00636,Южный Инкай,448.3,2018,11180.15,11471.82,25.59,2.6,False
СКВ-00637,Южный Инкай,895.8,2018,16638.29,17997.41,20.09,8.2,False
СКВ-00638,Южный Инкай,429.1,2018,7752.46,8205.1,19.12,5.8,False
СКВ-00639,Южный Инкай,416.1,2018,8890.56,9878.48,23.74,11.1,False
СКВ-00640,Южный Инкай,694.7,2018,15491.099999999999,15928.630000000001,22.93,2.8,False
СКВ-00641,Южный Инкай,584.6,2018,13222.69,14159.9,24.22,7.1,False
СКВ-00642,Южный Инкай,860.9,2018,14013.3,15180.099999999999,17.63,8.3,False
СКВ-00643,Южный Инкай,877.4,2018,15200.43,15673.25,17.86,3.1,False
СКВ-00644,Южный Инкай,444.3,2018,8809.84,9536.710000000001,21.46,8.3,False
СКВ-00645,Харасан,700.1,2018,13226.880000000001,14663.19,20.94,10.9,False
СКВ-00646,Харасан,595.0,2018,15300.22,16765.66,28.18,9.6,False
СКВ-00647,Харасан,462.9,2018,9728.83,10158.45,21.95,4.4,False
СКВ-00648,Харасан,634.7,2018,11807.550000000001,12858.83,20.26,8.9,False
СКВ-00649,Харасан,458.5,2018,9990.63,10715.48,23.37,7.3,False
СКВ-00650,Харасан,693.1,2018,11392.0,12772.9,18.43,12.1,False
СКВ-00651,Харасан,771.9,2018,18067.68,18881.62,24.46,4.5,False
СКВ-00652,Харасан,425.3,2018,10259.36,10747.05,25.27,4.8,False
СКВ-00653,Харасан,663.0,2018,16098.52,16273.87,24.55,1.1,False
СКВ-00654,Харасан,576.8,2018,9793.56,10388.460000000001,18.01,6.1,False
СКВ-00655,Мынкудук,590.2,2018,9840.09,10091.14,17.1,2.6,False
СКВ-00656,Мынкудук,459.0,2018,10683.869999999999,11184.52,24.37,4.7,False
СКВ-00657,Мынкудук,435.0,2018,9108.2,9582.96,22.03,5.2,False
СКВ-00658,Мынкудук,610.1,2018,14680.34,15455.4,25.33,5.3,False
СКВ-00659,Мынкудук,498.3,2018,9134.62,9431.91,18.93,3.3,False
СКВ-00660,Мынкудук,428.8,2018,7644.38,8032.0199999999995,18.73,5.1,False
СКВ-00661,Мынкудук,673.0,2018,13610.09,14177.099999999999,21.07,4.2,False
СКВ-00662,Мынкудук,457.2,2018,9467.689999999999,10131.94,22.16,7.0,False
СКВ-00663,Мынкудук,847.7,2018,17741.52,18471.23,21.79,4.1,False
СКВ-00664,Мынкудук,415.0,2018,10417.47,10876.83,26.21,4.4,False
СКВ-00665,Мынкудук,665.8,2018,16406.25,16810.79,25.25,2.5,False
